time,TotalEnergy
22180.8833163,26.8491616993
23272.929442369,26.5266633642
24364.975568437,26.0629377172
24719.890559409,25.7860007358
24910.998631471,25.293005418
24930.705130858,25.1666002223
24962.414184522,25.1482099883
25014.064891655,25.1385757691
25098.198450974,25.1263824695
25235.24315368,25.1092357133
25458.474533546,25.0847836475
25822.094928738,25.0501517236
26414.394236653,25.0009896173
27379.18739676,24.9320217648
28941.503748223,24.8353653745
31062.13496825,24.720863743
33431.624715119,24.6085700718
35905.452788909,24.5040548588
38379.2808627,24.411043548
40853.108936491,24.3277891996
43326.937010281,24.2537524005
45800.765084072,24.1886238254
48398.284561552,24.1282009295
51086.717220744,24.0740826793
53814.112672098,24.0272420306
56596.056032479,23.9862044214
59488.458908641,23.9505284767
62630.725300589,23.9178963499
65788.026459963,23.8909651517
68945.327619337,23.8687625547
72245.496656172,23.8495046874
74294.195522867,23.8392443969
75718.756893074,23.8328091317
77555.31017803,23.8253097125
78422.711941208,23.8219378203
79530.143044573,23.8180391456
81046.004116413,23.8129737514
83373.845770217,23.8056944319
84458.789410934,23.8026174909
85799.967682544,23.7991657087
87544.608346274,23.7948695285
89874.866094401,23.7894686319
91164.577911361,23.7867916341
92545.27827118,23.7840634824
94526.562850594,23.7802580417
95819.697885656,23.7778596938
96988.583257,23.7758250848
98802.524240321,23.7726142899
101337.09040846,23.7686405952
103743.76857528,23.7650880144
104889.31397621,23.7634325693
106723.45264079,23.7607748394
108905.91392156,23.7579822371
111475.97802973,23.7546750721
114685.00981358,23.7506572431
118327.56664232,23.7462386378
122268.55609062,23.741421457
126781.86787192,23.7359014906
131338.57688189,23.7306398918
135895.28589186,23.7252481506
140451.99490183,23.7195912671
144000.81683765,23.715171559
145613.5436484,23.7130513933
147899.11888191,23.7100265916
151092.79883202,23.7056078502
155186.78715449,23.6999021488
157146.02316844,23.6969972471
159220.71673028,23.6940312346
162161.75021648,23.6898672531
165698.10341288,23.6845186965
167074.29832951,23.6825012773
169241.90563838,23.6792836948
172093.42448454,23.6745951176
173907.05779205,23.6716443789
175546.42984883,23.6686725714
178171.94820194,23.66386884
181720.84757927,23.6574778579
185969.40243685,23.649707323
187905.81192603,23.6460146918
189956.33379868,23.6419070503
193015.03832937,23.6358388261
195285.8632832,23.6311865385
196992.19616916,23.6276075928
199398.38370504,23.6224420606
202577.67856807,23.6154775567
203729.17575598,23.6128382688
205604.84333811,23.6086371361
208642.16393142,23.6013412934
212025.11597559,23.5931705237
213465.40535978,23.5896736144
215622.01542109,23.5843104272
218369.98599322,23.5773737094
222234.53473389,23.5668164996
227438.39003463,23.5523586957
233665.9553799,23.5338905142
240332.8806165,23.5129150513
